datetime,wind_speed,wind_direction,temperature,dew_point,pressure,visibility,weather_information,categ_nuvem,altura_nuvem
2025-10-07T21:00:00Z,6.6877811,230,22,20,1016,3500,Light intensity: Drizzle,Broken,243.84
2025-10-07T22:00:00Z,6.1733364,220,22,19,1017,6000,Light intensity: Rain,Broken,243.84
2025-10-07T23:00:00Z,4.6300023,240,22,19,1017,6000,Light intensity: Rain,Broken,243.84
2025-10-08T00:00:00Z,3.6011129,270,22,19,1018,6000,Light intensity: Rain,Broken,243.84
2025-10-08T01:00:00Z,4.6300023,260,21,19,1018,4500,Light intensity: Rain,Broken,213.36
2025-10-08T02:00:00Z,4.1155576,270,21,19,1018,6000,Light intensity: Rain,Broken,213.36
2025-10-08T03:00:00Z,3.6011129,270,21,19,1018,4500,Light intensity: Rain,Broken,213.36
2025-10-08T04:00:00Z,3.6011129,270,21,19,1017,4500,Light intensity: Rain,Broken,213.36
2025-10-08T05:00:00Z,3.6011129,270,21,19,1017,4500,Light intensity: Rain,Broken,213.36
2025-10-08T06:00:00Z,4.1155576,260,21,19,1017,4500,Light intensity: Rain,Broken,213.36
2025-10-08T07:00:00Z,3.6011129,270,21,19,1017,4500,Light intensity: Rain,Broken,213.36
2025-10-08T08:00:00Z,3.6011129,260,20,19,1018,4500,Light intensity: Rain,Broken,213.36
2025-10-08T09:00:00Z,4.1155576,240,21,19,1018,4500,Light intensity: Rain,Broken,213.36
2025-10-08T10:00:00Z,3.0866682,240,21,18,1019,4500,Light intensity: Rain,Broken,213.36
2025-10-08T11:00:00Z,3.6011129,240,21,18,1020,3000,Light intensity: Rain,Broken,152.4
2025-10-08T12:00:00Z,3.0866682,230,21,18,1020,3000,Mist (French: Brume),Broken,152.4
2025-10-08T13:00:00Z,4.6300023,230,22,18,1020,5000,Mist (French: Brume),Broken,213.36
2025-10-08T14:00:00Z,4.1155576,260,21,19,1020,6000,Light intensity: Rain,Broken,213.36
2025-10-08T15:00:00Z,4.6300023,240,21,18,1020,5000,Mist (French: Brume),Broken,213.36
2025-10-08T16:00:00Z,4.6300023,240,22,18,1020,5000,Haze,Broken,213.36
2025-10-08T16:34:00Z,2.0577788,140,21,19,1020,3000,Light intensity: Rain,Broken,213.36
2025-10-08T17:00:00Z,2.0577788,160,20,19,1019,2000,Light intensity: Rain,Broken,182.88
2025-10-08T18:00:00Z,2.0577788,110,20,18,1019,5000,Light intensity: Rain,Broken,304.8
2025-10-08T19:00:00Z,2.0577788,150,19,17,1020,5000,Light intensity: Rain,Broken,213.36
2025-10-08T20:00:00Z,2.5722235,130,19,17,1020,4000,Light intensity: Rain,Broken,304.8
2025-10-08T21:00:00Z,2.0577788,120,19,17,1021,4000,Light intensity: Rain,Broken,213.36
2025-10-08T22:00:00Z,3.0866682,130,19,17,1022,6000,Light intensity: Rain,Broken,243.84
2025-10-08T23:00:00Z,2.0577788,130,19,17,1022,3000,Rain,Broken,243.84
2025-10-09T00:00:00Z,2.5722235,140,19,17,1023,6000,Light intensity: Rain,Broken,243.84
2025-10-09T01:00:00Z,1.5433341,140,19,17,1024,3000,Light intensity: Rain,Broken,182.88
2025-10-09T02:00:00Z,1.5433341,150,19,17,1024,2500,Light intensity: Rain,Broken,152.4
2025-10-09T03:00:00Z,3.0866682,150,18,17,1023,7000,Light intensity: Rain,Broken,182.88
2025-10-09T04:00:00Z,2.5722235,130,18,17,1022,7000,Sem Info,Scattered,762
2025-10-09T05:00:00Z,1.5433341,140,19,17,1021,7000,Sem Info,Few,548.64
2025-10-09T06:00:00Z,1.0288894,160,18,17,1021,7000,Sem Info,Few,457.2
2025-10-09T07:00:00Z,1.0288894,160,18,17,1021,7000,Sem Info,Few,457.2
