datetime,wind_speed,wind_direction,temperature,dew_point,pressure,visibility,weather_information,categ_nuvem,altura_nuvem
2026-01-24T00:00:00Z,1.0288894,300,22,21,1015,4500,Light intensity: Rain,Broken,243.84
2026-01-24T01:00:00Z,1.0288894,170,22,21,1015,6000,Sem Info,Broken,243.84
2026-01-24T02:00:00Z,1.5433341,210,22,21,1015,4000,Light intensity: Rain,Broken,243.84
2026-01-24T03:00:00Z,0.5144447,240,22,21,1015,3500,Light intensity: Rain,Broken,182.88
2026-01-24T04:00:00Z,1.0288894,200,22,21,1014,4000,Light intensity: Rain,Broken,243.84
2026-01-24T05:00:00Z,1.0288894,320,22,21,1014,6000,Sem Info,Broken,243.84
2026-01-24T06:00:00Z,1.5433341,300,22,21,1013,4000,Light intensity: Rain,Broken,182.88
2026-01-24T07:00:00Z,1.5433341,280,22,21,1013,4500,Mist (French: Brume),Broken,182.88
2026-01-24T08:00:00Z,2.0577788,310,22,21,1013,4000,Mist (French: Brume),Broken,182.88
2026-01-24T08:43:00Z,2.0577788,300,22,21,1014,2000,Mist (French: Brume),Broken,182.88
2026-01-24T09:00:00Z,1.5433341,300,22,21,1014,2000,Mist (French: Brume),Broken,182.88
2026-01-24T10:00:00Z,2.0577788,280,22,21,1014,2500,Mist (French: Brume),Broken,182.88
2026-01-24T11:00:00Z,2.0577788,300,23,21,1015,3500,Mist (French: Brume),Scattered,121.92
2026-01-24T12:00:00Z,2.5722235,10,24,21,1016,5000,Mist (French: Brume),Few,274.32
2026-01-24T13:00:00Z,2.5722235,350,25,22,1016,5000,Mist (French: Brume),Broken,335.28
2026-01-24T14:00:00Z,4.6300023,50,25,22,1015,6000,Sem Info,Scattered,335.28
2026-01-24T15:00:00Z,5.1444469999999995,140,26,21,1015,6000,Sem Info,Few,335.28
2026-01-24T16:00:00Z,4.6300023,120,27,22,1015,5000,Haze,Few,335.28
