datetime,vel_vento,dir_vento,temp_ar,temp_orvalho,pressao,vis,clima,categ_nuvem,altura_nuvem,lmlt,umidade_relativa
2011-01-01T00:00:00Z,3.6011129,160,23,19,1010,10000,Sem Info,Scattered,1524,25.258000000000003,0.78
2011-01-01T01:00:00Z,2.5722235,130,23,19,1011,10000,Sem Info,Few,1219.2,25.217000000000006,0.78
2011-01-01T02:00:00Z,1.0288894,140,22,20,1011,10000,Sem Info,Few,1219.2,25.174999999999972,0.88
2011-01-01T03:00:00Z,1.5433341,130,22,20,1010,10000,Light intensity: Drizzle,Broken,609.6,25.135000000000012,0.88
2011-01-01T04:00:00Z,0,0,22,20,1009,10000,Sem Info,Few,609.6,25.094000000000015,0.88
2011-01-01T05:00:00Z,1.0288894,150,22,20,1009,10000,Sem Info,Few,609.6,25.056000000000008,0.88
2011-01-01T06:00:00Z,2.0577788,150,22,20,1009,10000,Sem Info,Few,609.6,25.022000000000016,0.88
2011-01-01T07:00:00Z,1.5433341,170,22,20,1009,6000,Light intensity: Rain; Mist (French: Brume),Scattered,213.36,24.987999999999964,0.88
2011-01-01T08:00:00Z,0,0,22,21,1009,4000,Mist (French: Brume),Scattered,274.32,24.95599999999998,0.94
2011-01-01T09:00:00Z,0,0,23,21,1009,8000,Sem Info,Few,396.24,24.92799999999996,0.89
2011-01-01T10:00:00Z,0,0,24,21,1010,8000,Sem Info,Few,274.32,24.936999999999976,0.83
2011-01-01T11:00:00Z,1.0288894,120,25,21,1010,9000,Sem Info,Scattered,396.24,24.993999999999993,0.79
2011-01-01T12:00:00Z,2.0577788,150,26,21,1009,9000,Sem Info,Scattered,457.2,24.991000000000007,0.74
2011-01-01T13:00:00Z,2.5722235,150,27,21,1009,10000,Sem Info,Scattered,609.6,24.996000000000002,0.7
2011-01-01T14:00:00Z,2.0577788,10,27,22,1009,10000,Sem Info,Scattered,609.6,25.128999999999987,0.74
2011-01-01T15:00:00Z,2.0577788,340,28,21,1008,10000,Sem Info,Scattered,609.6,25.258999999999983,0.66
2011-01-01T16:00:00Z,2.5722235,50,28,21,1008,10000,Sem Info,Few,609.6,25.282000000000007,0.66
2011-01-01T17:00:00Z,2.0577788,130,29,21,1007,10000,Sem Info,Few,609.6,25.30299999999996,0.62
2011-01-01T18:00:00Z,2.5722235,140,28,21,1007,10000,Sem Info,Few,609.6,25.318000000000005,0.66
2011-01-01T19:00:00Z,4.1155576,100,27,22,1006,10000,Sem Info,Few,609.6,25.327999999999992,0.74
2011-01-01T20:00:00Z,4.1155576,150,27,22,1006,10000,Sem Info,Few,609.6,25.335999999999977,0.74
2011-01-01T21:00:00Z,3.0866682,150,27,22,1007,10000,Sem Info,Scattered,762,25.32500000000001,0.74
2011-01-01T22:00:00Z,3.6011129,140,26,22,1007,10000,Sem Info,Scattered,762,25.304999999999968,0.79
2011-01-01T23:00:00Z,2.0577788,160,26,23,1007,10000,Sem Info,Few,762,25.27899999999996,0.84
2011-01-02T00:00:00Z,2.5722235,140,26,23,1007,10000,Sem Info,Few,762,25.251999999999978,0.84
2011-01-02T01:00:00Z,2.5722235,110,26,23,1008,10000,Sem Info,Few,762,25.21999999999999,0.84
2011-01-02T02:00:00Z,2.5722235,90,25,22,1008,10000,Sem Info,Few,609.6,25.186000000000003,0.83
2011-01-02T03:00:00Z,1.5433341,160,25,23,1007,10000,Light intensity: Rain,Few,609.6,25.15200000000001,0.89
2011-01-02T04:00:00Z,2.0577788,100,25,23,1007,10000,Sem Info,Few,609.6,25.116999999999983,0.89
2011-01-02T05:00:00Z,3.0866682,120,24,22,1006,10000,Sem Info,Few,609.6,25.080999999999985,0.89
2011-01-02T06:00:00Z,1.0288894,130,24,21,1006,10000,Sem Info,Few,609.6,25.041999999999994,0.83
2011-01-02T07:00:00Z,2.0577788,140,24,22,1006,10000,Sem Info,Few,609.6,25.001999999999974,0.89
2011-01-02T08:00:00Z,3.6011129,120,23,21,1006,9000,Light intensity: Rain,Scattered,304.8,24.96,0.89
2011-01-02T09:00:00Z,3.6011129,150,23,21,1007,10000,Sem Info,Few,609.6,24.92199999999999,0.89
2011-01-02T10:00:00Z,2.5722235,190,24,21,1007,10000,Sem Info,Few,609.6,24.936,0.83
2011-01-02T11:00:00Z,3.0866682,120,26,22,1008,10000,Sem Info,Scattered,762,24.939999999999962,0.79
2011-01-02T12:00:00Z,3.6011129,120,27,21,1007,10000,Sem Info,Few,609.6,25.01899999999997,0.7
