datetime,vel_vento,dir_vento,temp_ar,temp_orvalho,pressao,vis,clima,categ_nuvem,altura_nuvem,lmlt,umidade_relativa
2026-01-01T00:00:00Z,3.0866682,120,29,22,1010,10000,Sem Info,No,0.0,31.136,0.66
2026-01-01T01:00:00Z,1.0288894,90,28,23,1011,10000,Sem Info,No,0.0,31.004,0.74
2026-01-01T02:00:00Z,0.5144447,160,28,23,1010,10000,Sem Info,No,0.0,30.885,0.74
2026-01-01T03:00:00Z,0.5144447,10,27,23,1010,10000,Sem Info,No,0.0,30.775,0.79
2026-01-01T04:00:00Z,1.0288894,290,27,24,1009,10000,Sem Info,No,0.0,30.665,0.84
2026-01-01T05:00:00Z,2.5722235,280,28,23,1009,10000,Sem Info,No,0.0,30.555,0.74
2026-01-01T06:00:00Z,3.0866682,280,27,23,1008,10000,Sem Info,No,0.0,30.448,0.79
2026-01-01T07:00:00Z,3.0866682,280,27,24,1008,10000,Sem Info,No,0.0,30.336,0.84
2026-01-01T08:00:00Z,1.5433341,310,27,23,1008,8000,Sem Info,No,0.0,30.22,0.79
2026-01-01T09:00:00Z,2.0577788,330,27,24,1008,6000,Sem Info,No,0.0,30.117,0.84
2026-01-01T10:00:00Z,2.0577788,340,28,24,1009,7000,Sem Info,No,0.0,30.089,0.79
2026-01-01T11:00:00Z,2.5722235,360,29,24,1009,8000,Sem Info,No,0.0,30.121,0.74
2026-01-01T12:00:00Z,1.0288894,60,33,23,1008,10000,Sem Info,No,0.0,30.197,0.56
2026-01-01T13:00:00Z,2.5722235,40,34,24,1008,10000,Sem Info,No,0.0,30.262,0.56
2026-01-01T14:00:00Z,1.5433341,20,35,22,1008,10000,Sem Info,No,0.0,30.306,0.47
2026-01-01T15:00:00Z,3.6011129,130,36,24,1007,10000,Sem Info,No,0.0,30.229,0.5
2026-01-01T16:00:00Z,5.6588917,120,34,24,1006,10000,Sem Info,No,0.0,30.244,0.56
2026-01-01T17:00:00Z,6.1733364,120,34,24,1005,10000,Sem Info,No,0.0,30.226,0.56
2026-01-01T18:00:00Z,7.2022258,140,32,23,1005,10000,Sem Info,No,0.0,30.234,0.59
2026-01-01T19:00:00Z,5.6588917,80,31,23,1005,10000,Sem Info,No,0.0,30.256,0.62
2026-01-01T20:00:00Z,5.144447,140,31,23,1005,10000,Sem Info,Few,762.0,30.272,0.62
2026-01-01T21:00:00Z,3.6011129,110,30,23,1005,9000,Sem Info,Few,762.0,30.214,0.66
2026-01-01T22:00:00Z,4.1155576,60,29,24,1006,10000,Sem Info,Few,762.0,29.982,0.74
2026-01-01T23:00:00Z,3.0866682,70,29,23,1006,10000,Sem Info,Few,762.0,29.907,0.7
2026-01-02T00:00:00Z,1.0288894,320,29,23,1007,10000,Sem Info,Few,762.0,29.84,0.7
2026-01-02T01:00:00Z,2.5722235,80,28,25,1007,10000,Sem Info,Few,762.0,29.778,0.84
2026-01-02T02:00:00Z,4.1155576,60,28,25,1006,10000,Sem Info,Few,762.0,29.711,0.84
2026-01-02T03:00:00Z,2.5722235,90,28,24,1006,10000,Sem Info,Few,762.0,29.635,0.79
2026-01-02T04:00:00Z,2.5722235,60,27,24,1005,10000,Sem Info,Few,762.0,29.556,0.84
2026-01-02T05:00:00Z,2.5722235,90,27,24,1005,10000,Sem Info,Few,762.0,29.475,0.84
2026-01-02T06:00:00Z,2.0577788,150,26,23,1005,10000,Sem Info,Few,762.0,29.388,0.84
2026-01-02T07:00:00Z,2.5722235,190,26,23,1004,8000,Sem Info,Few,762.0,29.298,0.84
2026-01-02T08:00:00Z,5.144447,270,27,23,1005,8000,Sem Info,Few,762.0,29.205,0.79
2026-01-02T09:00:00Z,3.0866682,280,27,23,1005,8000,Sem Info,Few,762.0,29.119,0.79
2026-01-02T10:00:00Z,2.5722235,270,28,23,1006,10000,Sem Info,Few,762.0,29.029,0.74
2026-01-02T11:00:00Z,1.5433341,340,30,23,1005,10000,Sem Info,Few,762.0,28.985,0.66
2026-01-02T12:00:00Z,1.0288894,340,30,23,1006,10000,Sem Info,Few,762.0,28.951,0.66
2026-01-02T13:00:00Z,2.0577788,20,32,23,1005,10000,Sem Info,Few,762.0,28.953,0.59
2026-01-02T14:00:00Z,3.6011129,40,31,24,1005,10000,Sem Info,Few,762.0,28.95,0.66
2026-01-02T15:00:00Z,3.0866682,30,32,24,1004,10000,Sem Info,Few,762.0,28.947,0.63
2026-01-02T16:00:00Z,2.0577788,30,36,21,1003,10000,Sem Info,Few,762.0,29.083,0.42
2026-01-02T17:00:00Z,2.0577788,30,37,20,1002,10000,Sem Info,Scattered,762.0,29.277,0.37
2026-01-02T18:00:00Z,5.144447,130,34,22,1002,10000,Sem Info,Scattered,762.0,29.605,0.5
2026-01-02T19:00:00Z,5.6588917,130,32,23,1001,10000,Sem Info,Broken,762.0,29.727,0.59
2026-01-02T20:00:00Z,6.6877811,210,33,19,1002,10000,Sem Info,Few,914.4,29.751,0.44
2026-01-02T21:00:00Z,4.6300023,220,32,19,1003,10000,Sem Info,Few,914.4,29.698,0.46
2026-01-02T22:00:00Z,4.1155576,50,27,23,1004,10000,Sem Info,Few,914.4,29.402,0.79
2026-01-02T23:00:00Z,1.5433341,340,28,23,1005,7000,Light intensity: Thunderstorm Rain,Few,914.4,29.322,0.74
2026-01-02T23:27:00Z,2.5722235,310,26,23,1006,4000,Light intensity: Thunderstorm Rain,Few,944.88,25.825,0.84
2026-01-03T00:00:00Z,3.0866682,270,26,23,1006,5000,Light intensity: Rain,Few,762.0,29.235,0.84
2026-01-03T01:00:00Z,1.5433341,40,25,24,1006,5000,Light intensity: Rain,Few,731.52,29.15,0.94
2026-01-03T02:00:00Z,1.0288894,160,25,24,1005,7000,Light intensity: Rain,Few,1219.2,29.07,0.94
2026-01-03T03:00:00Z,1.0288894,100,25,24,1005,7000,Light intensity: Rain,Few,243.84,28.984,0.94
2026-01-03T04:00:00Z,1.0288894,160,25,24,1004,7000,Sem Info,Few,243.84,28.902,0.94
2026-01-03T05:00:00Z,1.0288894,270,25,24,1004,7000,Sem Info,Broken,274.32,28.817,0.94
2026-01-03T06:00:00Z,0.5144447,260,26,24,1004,7000,Sem Info,Broken,274.32,28.733,0.89
2026-01-03T07:00:00Z,1.5433341,330,26,24,1003,7000,Sem Info,Broken,274.32,28.65,0.89
2026-01-03T07:07:00Z,2.0577788,310,26,24,1005,7000,Sem Info,Few,274.32,25.654,0.89
2026-01-03T08:00:00Z,2.0577788,310,25,23,1005,7000,Sem Info,Few,274.32,28.571,0.89
2026-01-03T09:00:00Z,2.5722235,340,25,23,1005,8000,Sem Info,Few,274.32,28.499,0.89
2026-01-03T10:00:00Z,1.5433341,360,26,24,1005,10000,Sem Info,Scattered,1066.8,28.467,0.89
2026-01-03T11:00:00Z,1.0288894,360,27,24,1005,10000,Sem Info,Few,914.4,28.448,0.84
2026-01-03T12:00:00Z,1.5433341,360,29,24,1005,10000,Sem Info,Few,914.4,28.496,0.74
2026-01-03T13:00:00Z,2.0577788,340,30,24,1005,10000,Sem Info,Few,914.4,28.524,0.7
