lead_time,AR_MAE,MOS_MAE,AR_RMSE,MOS_RMSE
1,1105.0933945240529,858.0044382377904,1446.5122787213538,1412.768018972456
2,1280.6672904175796,848.8536911553632,1577.7635793810048,1546.4715361981553
3,1595.4947141597083,510.34216263646414,2029.2162780042493,801.7218093966183
4,2105.160571596743,524.659632168823,2464.6393032042615,817.1352660557984
5,1680.1335878681987,729.9761842134513,2041.4168047678675,887.8263378811581
6,2912.5777176740917,480.7800048153595,3520.4376381932398,726.7484113727749
7,1577.2995146818669,310.7753510341828,2450.5463633187433,415.63458986030537
8,1979.6429864501006,474.7727410857007,2759.566362239686,675.1634932902302
9,2615.1094375551725,968.5510957194726,3221.2118932786525,1341.5046179320086
10,1760.9165806970166,892.4695134633539,2806.083205160665,1062.9342447726924
11,3056.4069979543465,320.11664437160874,3806.5472561527836,387.8237773801491
12,2934.339601741907,1205.8978744336523,3732.206386473476,1508.0628215391891
13,2514.2593487131658,713.4311771791845,3275.961277777409,992.9088388975445
14,1961.4569173943837,452.2414284358529,2898.6622849027926,599.4376174121103
15,1665.0256838608636,445.4352401459399,2505.453469176585,512.5454013114268
16,1439.1358748439254,376.96388081830196,2446.0372105373103,409.44045382134254
17,1420.9440921240846,384.78779614726085,2309.291978132943,545.2897678706988
18,2567.9050884717194,1077.0597223571247,3839.613952580008,1776.086639335146
19,2513.628064803635,766.7992054893999,3688.0702300867338,1069.6802429956642
20,2102.5771732165726,859.0813908128689,3053.7400423949493,950.9966231394374
21,2140.4038030673887,651.8353395404861,3095.1598367592983,818.250148955682
22,1686.8105876381562,288.73039893701394,2528.364398075535,341.6459196128975
23,1966.8879617292425,400.9720910148037,2639.782278536198,570.9499733657582
24,2946.325657745048,958.6486251162845,4150.545769782964,1073.3808256674865
