Model,Accuracy,CSI_ThreatScore,HeidkeSkillScore,F1_Score,TP,FP,FN,TN
fog_gfs_vis,0.7142857142857143,0,0,0,0,0,14,35
fog_gfs_koschmieder,0.2857142857142857,0.2857142857142857,0,0.4444444444444444,14,35,0,0
fog_wrf_native_vis,0.7724137931034483,0,-0.01355644990468121,0,0,1,32,112
fog_wrf_koschmieder,0.7241379310344828,0,-0.09682299546142208,0,0,8,32,105
fog_wrf_mos_base,0.8068965517241379,0.125,0.18211120064464145,0.2222222222222222,4,0,28,113
fog_wrf_mos_lagged,0.8689655172413793,0.40625,0.5160723695766731,0.5777777777777777,13,0,19,113
fog_perf_prog_lgb,0.7241379310344828,0,-0.09682299546142208,0,0,8,32,105
fog_perf_prog_rf,0.7586206896551724,0,-0.03932009010853983,0,0,3,32,110
fog_perf_prog_class,0.6206896551724138,0.2028985507246377,0.09075361988370768,0.3373493975903614,14,37,18,76
fog_wrf_full_mos_base,0.9136690647482014,0.625,0.7195696032279758,0.7692307692307693,20,0,12,107
fog_wrf_full_mos_lagged,0.9640287769784173,0.84375,0.8926309284721149,0.9152542372881356,27,0,5,107
