Model,N_Valid_Samples,RMSE,MAE,Bias,Pearson,R2
gfs_vis,49,16770.76856018184,16163.2693877551,16163.2693877551,-0.06373399778612766,-25.402192791169583
gfs_koschmieder,49,7274.713266339899,6501.430621758249,-6501.430621758249,NA,-3.967819720888108
wrf_native_vis,145,41724.71658675154,36154.85957704741,35959.204943426725,0.1795569804821022,-179.76711608082994
wrf_koschmieder,145,11320.343194917235,9105.22999226115,7572.005876848459,0.19115108430991057,-12.306131937030717
perf_prog_vis_lgb,145,3681.555098633291,2909.708614530668,232.78799832391616,0.01793293011271944,-0.4073277384616976
perf_prog_vis_rf,145,3383.6144883369666,2729.0948676230473,358.0946119842016,0.07653881036329666,-0.1887605667961838
perf_prog_vis_lgb_lagged,145,3860.6448669309266,2934.2113098601385,899.723927713235,-0.08689053547489371,-0.5475772817778879
wrf_mos_vis_base,145,1836.367998697063,1438.978071460747,-42.760467821289225,0.8245636886560277,0.6498516610207337
wrf_mos_vis_lagged,145,1013.197885564368,666.8877949854115,-109.65548233843118,0.950473419565597,0.8934088400930761
autoregressive_24h_avg,144,2931.0831446816132,2063.6751103720403,1355.8759221345783,0.5795899582201516,0.10888991153784322
wrf_full_mos_base,139,190.65629828458756,116.07527152973523,2.246849858016008e-8,0.9982840003434559,0.9962453688202972
wrf_full_mos_lagged,139,46.0399624415694,26.6000729426834,2.442836887816123e-8,0.9998969881168761,0.999781055071273
