Feature,Gain,Cover,Frequency
pressao,0.20580452969154586,0.03219824465585348,0.03265765765765766
temp_ar,0.16267301949948354,0.15135080209828403,0.13288288288288289
pressao_lag3,0.15076064478294485,0.09218732138547713,0.09121621621621621
umidade_relativa,0.07453995442203355,0.045395079447739774,0.05067567567567568
pressao_lag6,0.07328308429259532,0.07444335776250778,0.07882882882882883
temp_ar_lag6,0.07276298522939542,0.10297087551282214,0.1036036036036036
temp_ar_lag3,0.06383690876991553,0.05324459234608985,0.05630630630630631
umidade_relativa_lag6,0.05706437390210987,0.0990588205408289,0.0945945945945946
umidade_relativa_lag3,0.03485801186974959,0.06245316330289213,0.04954954954954955
categ_nuvem,0.03422194202864805,0.056178633575084784,0.07432432432432433
dir_vento,0.0301670326858704,0.09961768553682793,0.09009009009009009
temp_orvalho,0.02683465787411949,0.07624696752232285,0.09121621621621621
vel_vento,0.013192854951588517,0.054654456313269234,0.05405405405405406
