datetime,wind_speed,wind_direction,temperature,dew_point,pressure,visibility,weather_information,categ_nuvem,altura_nuvem
2026-06-11T12:00:00Z,1.5433341,310,22,19,1019,5000,Light intensity: Rain,Few,396.24
2026-06-11T12:20:00Z,1.5433341,310,22,20,1019,3000,Light intensity: Rain,Few,396.24
2026-06-11T13:00:00Z,1.0288894,310,22,20,1019,2500,Light intensity: Rain,Few,396.24
2026-06-11T14:00:00Z,2.0577788,280,22,20,1018,3000,Light intensity: Rain,Few,335.28
2026-06-11T15:00:00Z,2.0577788,350,22,20,1017,2500,Light intensity: Rain,Scattered,152.4
2026-06-11T16:00:00Z,2.5722235,40,21,20,1016,2500,Light intensity: Rain,Scattered,152.4
2026-06-11T17:00:00Z,3.0866682,50,22,20,1015,4000,Mist (French: Brume),Few,243.84
2026-06-11T18:00:00Z,1.5433341,110,22,19,1015,5000,Mist (French: Brume),Few,304.8
2026-06-11T19:00:00Z,0,0,22,19,1015,5000,Mist (French: Brume),Few,304.8
2026-06-11T20:00:00Z,1.5433341,360,22,19,1015,4000,Mist (French: Brume),Few,304.8
2026-06-11T21:00:00Z,2.5722235,20,22,19,1016,4000,Mist (French: Brume),Scattered,609.6
2026-06-11T22:00:00Z,1.0288894,30,21,19,1016,5000,Mist (French: Brume),Scattered,609.6
2026-06-11T23:00:00Z,2.5722235,110,20,19,1016,4500,Mist (French: Brume),Scattered,609.6
2026-06-12T00:00:00Z,2.0577788,90,20,19,1016,4500,Mist (French: Brume),Scattered,609.6
2026-06-12T01:00:00Z,1.0288894,90,19,18,1016,4500,Mist (French: Brume),Scattered,609.6
2026-06-12T02:00:00Z,2.5722235,260,20,19,1016,3000,Mist (French: Brume),Scattered,609.6
2026-06-12T03:00:00Z,1.0288894,260,19,18,1016,3000,Mist (French: Brume),Scattered,609.6
2026-06-12T04:00:00Z,1.0288894,260,18,17,1016,3000,Mist (French: Brume),Scattered,609.6
2026-06-12T05:00:00Z,2.0577788,20,19,18,1015,2500,Mist (French: Brume),Scattered,609.6
2026-06-12T06:00:00Z,1.0288894,310,19,18,1015,2500,Mist (French: Brume),Scattered,609.6
2026-06-12T07:00:00Z,1.0288894,110,17,16,1015,2500,Mist (French: Brume),Scattered,609.6
2026-06-12T08:00:00Z,1.5433341,70,17,16,1014,2500,Mist (French: Brume),Scattered,609.6
2026-06-12T09:00:00Z,2.5722235,340,18,17,1014,3500,Mist (French: Brume),Scattered,609.6
2026-06-12T10:00:00Z,1.0288894,340,18,17,1015,4000,Mist (French: Brume),No,0
2026-06-12T11:00:00Z,1.0288894,340,20,18,1015,1500,Mist (French: Brume),Few,152.4
2026-06-12T11:19:00Z,1.5433341,20,20,19,1015,1500,Mist (French: Brume),Broken,152.4
2026-06-12T12:00:00Z,2.0577788,50,20,19,1015,1900,Mist (French: Brume),Scattered,60.96
