datetime,vel_vento,dir_vento,temp_ar,temp_orvalho,pressao,visibility,clima,categ_nuvem,altura_nuvem,lmlt,umidade_relativa
2013-06-18T00:00:00Z,5.1444469999999995,220,23,19,1017,10000,Sem Info,Broken,762,21.53299999999998,0.78
2013-06-18T01:00:00Z,4.1155576,230,23,18,1017,10000,Sem Info,Broken,762,21.52,0.73
2013-06-18T02:00:00Z,3.6011129,220,23,19,1017,10000,Sem Info,Broken,762,21.50499999999996,0.78
2013-06-18T03:00:00Z,3.0866682,220,23,18,1017,10000,Sem Info,Broken,762,21.48999999999997,0.73
2013-06-18T04:00:00Z,2.5722235,260,22,19,1017,10000,Sem Info,Broken,762,21.474999999999987,0.83
2013-06-18T05:00:00Z,1.5433341,260,22,19,1017,10000,Sem Info,Broken,762,21.460999999999977,0.83
2013-06-18T06:00:00Z,2.5722235,250,22,19,1017,10000,Sem Info,Scattered,762,21.44500000000001,0.83
2013-06-18T07:00:00Z,2.5722235,240,22,19,1017,10000,Sem Info,Scattered,762,21.426999999999985,0.83
2013-06-18T08:00:00Z,1.5433341,260,22,19,1017,10000,Sem Info,Scattered,762,21.407,0.83
2013-06-18T09:00:00Z,2.0577788,240,22,18,1017,10000,Sem Info,Few,609.6,21.383999999999975,0.78
2013-06-18T10:00:00Z,1.5433341,260,21,19,1018,10000,Sem Info,Few,609.6,21.350999999999964,0.88
2013-06-18T11:00:00Z,2.0577788,260,22,19,1019,10000,Sem Info,Few,609.6,21.34499999999999,0.83
2013-06-18T12:00:00Z,3.0866682,240,24,18,1019,10000,Sem Info,Scattered,609.6,21.371,0.69
2013-06-18T13:00:00Z,3.6011129,270,24,17,1019,10000,Sem Info,Broken,762,21.422999999999966,0.65
2013-06-18T14:00:00Z,2.0577788,290,25,16,1019,10000,Sem Info,Broken,914.4,21.482999999999965,0.57
2013-06-18T15:00:00Z,2.5722235,180,25,16,1018,10000,Sem Info,Few,1066.8,21.568999999999978,0.57
2013-06-18T16:00:00Z,2.0577788,110,24,18,1018,10000,Sem Info,Broken,914.4,21.623999999999988,0.69
2013-06-18T17:00:00Z,2.5722235,180,25,17,1017,10000,Sem Info,Scattered,914.4,21.684999999999963,0.61
2013-06-18T18:00:00Z,2.0577788,190,26,16,1017,10000,Sem Info,Scattered,914.4,21.71999999999999,0.54
2013-06-18T19:00:00Z,1.5433341,190,26,17,1018,10000,Sem Info,Few,914.4,21.737999999999964,0.58
2013-06-18T20:00:00Z,2.0577788,40,24,18,1018,10000,Sem Info,Few,304.8,21.724999999999984,0.69
2013-06-18T21:00:00Z,1.5433341,120,22,19,1018,10000,Sem Info,No,0,21.696999999999967,0.83
2013-06-18T22:00:00Z,2.0577788,130,22,19,1019,10000,Sem Info,No,0,21.653999999999957,0.83
2013-06-18T23:00:00Z,3.0866682,110,21,19,1019,10000,Sem Info,No,0,21.62199999999998,0.88
2013-06-19T00:00:00Z,2.0577788,120,21,18,1019,10000,Sem Info,No,0,21.58899999999996,0.83
2013-06-19T01:00:00Z,2.0577788,70,20,19,1019,10000,Sem Info,Scattered,762,21.55699999999998,0.94
2013-06-19T02:00:00Z,0,0,20,18,1019,10000,Sem Info,Scattered,914.4,21.527999999999984,0.88
2013-06-19T03:00:00Z,2.0577788,360,21,19,1019,9000,Sem Info,Scattered,304.8,21.49299999999996,0.88
2013-06-19T04:00:00Z,1.0288894,360,19,18,1018,7000,Sem Info,Few,274.32,21.458999999999964,0.94
2013-06-19T05:00:00Z,0,0,19,18,1017,8000,Sem Info,Scattered,274.32,21.42199999999999,0.94
2013-06-19T06:00:00Z,0,0,19,18,1017,8000,Sem Info,Broken,243.84,21.383999999999975,0.94
2013-06-19T07:00:00Z,0,0,18,17,1017,8000,Sem Info,Broken,152.4,21.344000000000015,0.94
2013-06-19T08:00:00Z,2.5722235,200,19,18,1017,100,Fog,Overcast,60.96,21.301999999999985,0.94
2013-06-19T09:00:00Z,0,0,19,18,1017,400,Fog,Overcast,60.96,21.265000000000008,0.94
2013-06-19T10:00:00Z,0,0,19,18,1017,300,Fog,No,0,21.208999999999968,0.94
2013-06-19T11:00:00Z,0,0,19,18,1018,1000,Mist (French: Brume),No,0,21.186999999999976,0.94
2013-06-19T12:00:00Z,0,0,21,19,1019,1500,Mist (French: Brume),Scattered,60.96,21.20000000000001,0.88
2013-06-19T13:00:00Z,2.0577788,10,21,19,1019,5000,Mist (French: Brume),Few,91.44,21.253000000000004,0.88
2013-06-19T14:00:00Z,2.0577788,20,23,19,1018,6000,Sem Info,Few,121.92,21.333999999999968,0.78
2013-06-19T15:00:00Z,2.5722235,30,25,18,1016,9000,Sem Info,No,0,21.428999999999995,0.65
2013-06-19T16:00:00Z,3.0866682,140,26,17,1015,10000,Sem Info,No,0,21.522000000000013,0.58
2013-06-19T17:00:00Z,3.6011129,140,26,15,1014,10000,Sem Info,No,0,21.604000000000006,0.51
2013-06-19T18:00:00Z,3.0866682,140,26,17,1014,10000,Sem Info,No,0,21.662999999999975,0.58
2013-06-19T19:00:00Z,4.1155576,130,26,19,1014,10000,Sem Info,No,0,21.69599999999999,0.65
2013-06-19T20:00:00Z,4.6300023,120,24,20,1015,10000,Sem Info,No,0,21.69399999999998,0.78
2013-06-19T21:00:00Z,4.1155576,150,24,19,1015,10000,Sem Info,No,0,21.671000000000017,0.74
2013-06-19T22:00:00Z,2.5722235,130,23,20,1016,10000,Sem Info,No,0,21.640999999999984,0.83
2013-06-19T23:00:00Z,2.0577788,130,23,20,1016,10000,Sem Info,No,0,21.61299999999996,0.83
2013-06-20T00:00:00Z,1.5433341,130,22,19,1016,10000,Sem Info,No,0,21.583999999999968,0.83
2013-06-20T01:00:00Z,1.5433341,130,21,19,1017,10000,Sem Info,No,0,21.551000000000005,0.88
2013-06-20T02:00:00Z,1.5433341,130,20,19,1016,10000,Sem Info,No,0,21.515000000000008,0.94
2013-06-20T03:00:00Z,1.5433341,340,20,19,1016,4000,Mist (French: Brume),No,0,21.472,0.94
2013-06-20T04:00:00Z,1.0288894,320,20,19,1016,900,Fog,No,0,21.424999999999972,0.94
2013-06-20T05:00:00Z,1.0288894,340,19,18,1015,2000,Mist (French: Brume),Broken,213.36,21.37599999999999,0.94
2013-06-20T06:00:00Z,1.5433341,340,20,18,1016,2000,Mist (French: Brume),Broken,182.88,21.32699999999996,0.88
2013-06-20T07:00:00Z,1.5433341,30,20,18,1016,1000,Mist (French: Brume),Broken,152.4,21.284999999999982,0.88
2013-06-20T08:00:00Z,0,0,20,19,1016,1000,Mist (French: Brume),Broken,152.4,21.224999999999987,0.94
2013-06-20T09:00:00Z,1.5433341,320,20,19,1016,1000,Mist (French: Brume),Broken,152.4,21.176999999999985,0.94
2013-06-20T10:00:00Z,2.0577788,330,20,19,1017,1000,Mist (French: Brume),Overcast,121.92,21.14700000000001,0.94
2013-06-20T11:00:00Z,1.0288894,270,19,18,1017,400,Fog,Overcast,60.96,21.126,0.94
2013-06-20T12:00:00Z,1.0288894,40,20,19,1018,1500,Mist (French: Brume),Overcast,91.44,21.142999999999994,0.94
2013-06-20T13:00:00Z,1.5433341,340,21,20,1018,1800,Mist (French: Brume),Broken,91.44,21.20799999999999,0.94
2013-06-20T14:00:00Z,2.5722235,40,22,20,1018,2000,Mist (French: Brume),Broken,91.44,21.306000000000004,0.78
2013-06-20T15:00:00Z,3.0866682,60,25,21,1017,2500,Haze,Scattered,304.8,21.412,0.79
2013-06-20T16:00:00Z,2.5722235,60,27,19,1016,3500,Haze,Scattered,304.8,21.511999999999965,0.62
2013-06-20T17:00:00Z,3.0866682,120,26,20,1015,3500,Haze,Broken,304.8,21.600999999999964,0.7
2013-06-20T18:00:00Z,3.6011129,110,25,20,1015,4500,Haze,Scattered,365.76,21.66999999999998,0.74
2013-06-20T19:00:00Z,3.6011129,120,25,20,1015,6000,Sem Info,Scattered,365.76,21.70700000000001,0.74
2013-06-20T20:00:00Z,5.1444469999999995,130,24,20,1015,6000,Sem Info,Scattered,457.2,21.708999999999964,0.78
2013-06-20T21:00:00Z,3.6011129,150,23,20,1015,8000,Sem Info,Scattered,457.2,21.686999999999976,0.83
2013-06-20T22:00:00Z,3.0866682,140,23,20,1016,8000,Sem Info,Few,457.2,21.662999999999975,0.83
2013-06-20T23:00:00Z,4.1155576,140,23,20,1016,8000,Sem Info,Scattered,609.6,21.638,0.83
2013-06-21T00:00:00Z,3.6011129,130,23,19,1016,8000,Sem Info,Scattered,609.6,21.61299999999996,0.78
2013-06-21T01:00:00Z,2.0577788,120,22,20,1016,7000,Sem Info,Scattered,609.6,21.587999999999987,0.88
2013-06-21T02:00:00Z,1.5433341,130,21,19,1016,7000,Sem Info,Scattered,304.8,21.55899999999999,0.88
2013-06-21T03:00:00Z,1.5433341,120,21,19,1015,5000,Mist (French: Brume),Scattered,304.8,21.532000000000004,0.88
2013-06-21T04:00:00Z,0,0,21,19,1015,5000,Mist (French: Brume),Scattered,304.8,21.501,0.88
2013-06-21T05:00:00Z,0,0,21,19,1015,5000,Mist (French: Brume),Scattered,304.8,21.469000000000015,0.88
2013-06-21T06:00:00Z,0,0,20,19,1015,5000,Mist (French: Brume),Scattered,304.8,21.43800000000001,0.94
2013-06-21T07:00:00Z,0,0,20,19,1013,2000,Mist (French: Brume),Scattered,243.84,21.402999999999984,0.94
2013-06-21T08:00:00Z,0,0,20,19,1013,2000,Mist (French: Brume),Scattered,182.88,21.364999999999977,0.94
2013-06-21T09:00:00Z,0,0,19,18,1013,700,Patches (French: Bancs) Fog,Scattered,152.4,21.325999999999983,0.94
2013-06-21T10:00:00Z,1.5433341,120,20,19,1014,1500,Mist (French: Brume),Scattered,152.4,21.31499999999996,0.94
2013-06-21T11:00:00Z,2.5722235,130,21,20,1014,800,Fog,Scattered,30.48,21.30299999999996,0.94
2013-06-21T12:00:00Z,1.0288894,150,20,19,1014,800,Fog,No,0,21.32899999999997,0.94
2013-06-21T13:00:00Z,1.0288894,210,22,20,1013,3000,Mist (French: Brume),Few,60.96,21.39299999999999,0.88
2013-06-21T14:00:00Z,2.0577788,200,23,20,1013,5000,Mist (French: Brume),Few,121.92,21.48199999999999,0.83
2013-06-21T15:00:00Z,1.0288894,120,27,20,1012,700,Mist (French: Brume),Few,365.76,21.580000000000005,0.66
2013-06-21T16:00:00Z,1.5433341,190,27,19,1011,8000,Sem Info,Few,365.76,21.673999999999996,0.62
2013-06-21T17:00:00Z,2.0577788,30,29,18,1009,8000,Sem Info,Few,609.6,21.74800000000001,0.52
2013-06-21T18:00:00Z,2.5722235,20,28,17,1009,10000,Sem Info,No,0,21.801999999999985,0.51
2013-06-21T19:00:00Z,2.0577788,40,27,17,1008,10000,Sem Info,No,0,21.83099999999998,0.54
2013-06-21T20:00:00Z,1.5433341,120,26,19,1008,10000,Sem Info,No,0,21.833999999999968,0.65
2013-06-21T21:00:00Z,2.0577788,170,24,18,1009,10000,Sem Info,No,0,21.81899999999998,0.69
2013-06-21T22:00:00Z,1.0288894,130,22,18,1009,10000,Sem Info,No,0,21.806000000000004,0.78
2013-06-21T23:00:00Z,1.0288894,60,23,18,1009,10000,Sem Info,No,0,21.77999999999999,0.73
2013-06-22T00:00:00Z,0,0,23,17,1010,10000,Sem Info,No,0,21.751,0.69
2013-06-22T01:00:00Z,1.0288894,70,23,17,1010,10000,Sem Info,No,0,21.71999999999999,0.69
2013-06-22T02:00:00Z,1.5433341,100,22,17,1009,10000,Sem Info,No,0,21.684999999999963,0.73
2013-06-22T03:00:00Z,1.0288894,210,22,19,1009,10000,Sem Info,No,0,21.649999999999995,0.83
2013-06-22T04:00:00Z,0,0,22,19,1009,10000,Sem Info,No,0,21.61299999999996,0.83
2013-06-22T05:00:00Z,0,0,21,19,1008,10000,Sem Info,No,0,21.575999999999983,0.88
2013-06-22T06:00:00Z,5.1444469999999995,330,23,16,1008,10000,Sem Info,No,0,21.537999999999972,0.65
2013-06-22T07:00:00Z,5.1444469999999995,340,23,16,1008,8000,Sem Info,No,0,21.49999999999996,0.65
2013-06-22T08:00:00Z,4.1155576,260,24,16,1008,10000,Sem Info,No,0,21.462999999999987,0.61
2013-06-22T09:00:00Z,3.6011129,200,25,19,1008,10000,Sem Info,Few,457.2,21.426999999999985,0.69
2013-06-22T10:00:00Z,1.5433341,120,23,18,1009,10000,Sem Info,Few,457.2,21.419000000000004,0.73
2013-06-22T11:00:00Z,3.6011129,270,28,15,1010,10000,Sem Info,Few,762,21.409000000000013,0.45
2013-06-22T12:00:00Z,4.6300023,270,27,16,1011,10000,Sem Info,Few,762,21.431,0.51
2013-06-22T13:00:00Z,3.6011129,260,27,18,1011,10000,Sem Info,Few,762,21.484999999999975,0.58
2013-06-22T14:00:00Z,4.6300023,260,28,17,1012,10000,Sem Info,Few,762,21.558000000000018,0.51
2013-06-22T15:00:00Z,4.6300023,240,28,17,1012,10000,Sem Info,Few,609.6,21.633999999999975,0.51
2013-06-22T16:00:00Z,7.2022258,220,27,20,1012,10000,Sem Info,Few,609.6,21.713999999999963,0.66
